id,scheme_name,claim_text,report_text,synthetic_gold_label
17,PM-KISAN,"Under PM-KISAN, every eligible beneficiary in Maharashtra has been provided the intended subsidy/transfers.",Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Local administrators confirmed household-level connections during surprise checks.,fulfilled
18,Atmanirbhar Bharat,Smart city projects under Atmanirbhar Bharat have made the municipal services fully digital and integrated in Bihar.,"A field investigation in urban slum, Bihar found many households still without functioning piped water connections; supply remains intermittent. Electric meters installed but supply often limited to a few hours.",unfulfilled
19,Jal Jeevan Mission,Jal Jeevan Mission has eliminated open defecation in most areas of Bihar and constructed toilets in all target households.,Official numbers and local reports diverge; further verification on selected samples is required to confirm the extent of coverage.,uncertain
20,PM-KISAN,PM-KISAN claims that farmer beneficiaries in Rajasthan have received timely financial assistance under the scheme.,Local surveys confirm that a large majority of eligible families in Rajasthan received the promised benefits and subsidies under PM-KISAN. Beneficiary interviews corroborated receipt of benefits and regular services.,fulfilled
21,Beti Bachao Beti Padhao,"Beti Bachao Beti Padhao reports that roads connecting habitations in taluka, Karnataka are complete and motorable throughout the year.",Official numbers and local reports diverge; further verification on selected samples is required to confirm the extent of coverage.,uncertain
22,Pradhan Mantri Gram Sadak Yojana,"Pradhan Mantri Gram Sadak Yojana reports that roads connecting habitations in village panchayat, Kerala are complete and motorable throughout the year.",Local NGOs report that large numbers of eligible farmers in Kerala have not received the promised transfers or faced delays in payments. Toilets are unusable due to lack of water connections or broken pits.,unfulfilled
23,Jal Jeevan Mission,Smart city projects under Jal Jeevan Mission have made the municipal services fully digital and integrated in Assam.,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Local administrators confirmed household-level connections during surprise checks.,fulfilled
24,Poshan Abhiyaan,Smart city projects under Poshan Abhiyaan have made the municipal services fully digital and integrated in Odisha.,"Field verification in village panchayat, Odisha indicates that most households do have piped water and receive regular supply, corroborating the official claim. Third-party monitors reported improved service indicators this year.",fulfilled
25,Digital India,Digital India has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Maharashtra.,Survey data is inconclusive; official dashboards show coverage but independent sample surveys indicate uneven implementation across the district.,uncertain
26,Swachh Bharat Mission,Swachh Bharat Mission has eliminated open defecation in most areas of Chhattisgarh and constructed toilets in all target households.,Health facility mapping found that new primary health centres are functional and several programs are reaching intended beneficiaries. Local administrators confirmed household-level connections during surprise checks.,fulfilled
27,Swachh Bharat Mission,Swachh Bharat Mission has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Tamil Nadu.,Health facility mapping found that new primary health centres are functional and several programs are reaching intended beneficiaries. Beneficiary interviews corroborated receipt of benefits and regular services.,fulfilled
28,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),The health initiative Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana) has set up the required number of primary health centres in Punjab and increased service coverage.,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Beneficiary interviews corroborated receipt of benefits and regular services.,fulfilled
29,Smart Cities Mission,"Smart Cities Mission reports that roads connecting habitations in municipality, Punjab are complete and motorable throughout the year.","Reports provide mixed findings: while some pockets in municipality, Punjab have benefited, other areas still face shortfalls and inconsistent delivery.",uncertain
30,PM-KISAN,PM-KISAN has successfully provided households in village panchayat of Assam with electricity connections and 24x7 supply.,"The road is reported incomplete or damaged in many stretches, leaving several habitations with only seasonal access. Payments were delayed by months according to farmer groups.",unfulfilled
31,Ujjwala Yojana,Ujjwala Yojana has successfully provided households in municipality of Maharashtra with electricity connections and 24x7 supply.,"The claim is partially supported by some administrative records, but local interviews and sample checks show variations that raise uncertainty.",uncertain
32,PM Awas Yojana,Smart city projects under PM Awas Yojana have made the municipal services fully digital and integrated in Odisha.,"The road is reported incomplete or damaged in many stretches, leaving several habitations with only seasonal access. Electric meters installed but supply often limited to a few hours.",unfulfilled
33,Smart Cities Mission,"All rural households in village panchayat, Madhya Pradesh are reported to have received clean cooking fuel connections under Smart Cities Mission.",Local NGOs report that large numbers of eligible farmers in Madhya Pradesh have not received the promised transfers or faced delays in payments. Toilets are unusable due to lack of water connections or broken pits.,unfulfilled
34,Atmanirbhar Bharat,Smart city projects under Atmanirbhar Bharat have made the municipal services fully digital and integrated in Bihar.,"The claim is partially supported by some administrative records, but local interviews and sample checks show variations that raise uncertainty.",uncertain
35,Poshan Abhiyaan,The health initiative Poshan Abhiyaan has set up the required number of primary health centres in Rajasthan and increased service coverage.,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Electric meters installed but supply often limited to a few hours.",unfulfilled
36,Ujjwala Yojana,The government has ensured that all households in taluka of Chhattisgarh have access to piped water connections under Ujjwala Yojana.,On-ground reporting shows that electricity is available but often limited to a few hours a day; connection figures appear inflated. Toilets are unusable due to lack of water connections or broken pits.,unfulfilled
37,Jal Jeevan Mission,"Under Jal Jeevan Mission, every eligible beneficiary in Gujarat has been provided the intended subsidy/transfers.",Survey data is inconclusive; official dashboards show coverage but independent sample surveys indicate uneven implementation across the district.,uncertain
38,PM-KISAN,PM-KISAN claims that farmer beneficiaries in West Bengal have received timely financial assistance under the scheme.,"A field investigation in cluster of habitations, West Bengal found many households still without functioning piped water connections; supply remains intermittent. Many households reported receiving taps but no running water.",unfulfilled
39,Atmanirbhar Bharat,Smart city projects under Atmanirbhar Bharat have made the municipal services fully digital and integrated in Haryana.,"The claim is partially supported by some administrative records, but local interviews and sample checks show variations that raise uncertainty.",uncertain
40,MGNREGA,"Under MGNREGA, every eligible beneficiary in Maharashtra has been provided the intended subsidy/transfers.","Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Toilets are unusable due to lack of water connections or broken pits.",unfulfilled
41,Digital India,Digital India has eliminated open defecation in most areas of Uttar Pradesh and constructed toilets in all target households.,"A field investigation in municipality, Uttar Pradesh found many households still without functioning piped water connections; supply remains intermittent. Toilets are unusable due to lack of water connections or broken pits.",unfulfilled
42,MGNREGA,MGNREGA claims that farmer beneficiaries in Chhattisgarh have received timely financial assistance under the scheme.,Local surveys confirm that a large majority of eligible families in Chhattisgarh received the promised benefits and subsidies under MGNREGA. Local administrators confirmed household-level connections during surprise checks.,fulfilled
43,PM Awas Yojana,"Under PM Awas Yojana, every eligible beneficiary in Kerala has been provided the intended subsidy/transfers.","Field verification in taluka, Kerala indicates that most households do have piped water and receive regular supply, corroborating the official claim. Local administrators confirmed household-level connections during surprise checks.",fulfilled
44,Atmanirbhar Bharat,Atmanirbhar Bharat claims that farmer beneficiaries in Gujarat have received timely financial assistance under the scheme.,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Local administrators confirmed household-level connections during surprise checks.,fulfilled
45,Pradhan Mantri Gram Sadak Yojana,The government has ensured that all households in urban slum of Bihar have access to piped water connections under Pradhan Mantri Gram Sadak Yojana.,Local surveys confirm that a large majority of eligible families in Bihar received the promised benefits and subsidies under Pradhan Mantri Gram Sadak Yojana. Local administrators confirmed household-level connections during surprise checks.,fulfilled
46,Atmanirbhar Bharat,"All rural households in municipality, Odisha are reported to have received clean cooking fuel connections under Atmanirbhar Bharat.",Local surveys confirm that a large majority of eligible families in Odisha received the promised benefits and subsidies under Atmanirbhar Bharat. Local administrators confirmed household-level connections during surprise checks.,fulfilled
47,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"All rural households in municipality, Tamil Nadu are reported to have received clean cooking fuel connections under Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana).",On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Beneficiary interviews corroborated receipt of benefits and regular services.,fulfilled
48,MGNREGA,Smart city projects under MGNREGA have made the municipal services fully digital and integrated in Tamil Nadu.,"Field verification in cluster of habitations, Tamil Nadu indicates that most households do have piped water and receive regular supply, corroborating the official claim. Local administrators confirmed household-level connections during surprise checks.",fulfilled
49,PM Awas Yojana,The government has ensured that all households in municipality of Assam have access to piped water connections under PM Awas Yojana.,"The road is reported incomplete or damaged in many stretches, leaving several habitations with only seasonal access. Road construction stalled due to contractor disputes and monsoon damage.",unfulfilled
50,Pradhan Mantri Gram Sadak Yojana,Pradhan Mantri Gram Sadak Yojana claims that farmer beneficiaries in Kerala have received timely financial assistance under the scheme.,"The road is reported incomplete or damaged in many stretches, leaving several habitations with only seasonal access. Many households reported receiving taps but no running water.",unfulfilled
51,Atmanirbhar Bharat,"All rural households in district, Assam are reported to have received clean cooking fuel connections under Atmanirbhar Bharat.",On-ground reporting shows that electricity is available but often limited to a few hours a day; connection figures appear inflated. Many households reported receiving taps but no running water.,unfulfilled
52,Atmanirbhar Bharat,Atmanirbhar Bharat has eliminated open defecation in most areas of Kerala and constructed toilets in all target households.,Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Local administrators confirmed household-level connections during surprise checks.,fulfilled
53,Atmanirbhar Bharat,The health initiative Atmanirbhar Bharat has set up the required number of primary health centres in Gujarat and increased service coverage.,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Third-party monitors reported improved service indicators this year.,fulfilled
54,Smart Cities Mission,Smart Cities Mission claims that farmer beneficiaries in Tamil Nadu have received timely financial assistance under the scheme.,Survey data is inconclusive; official dashboards show coverage but independent sample surveys indicate uneven implementation across the district.,uncertain
55,Beti Bachao Beti Padhao,"Under Beti Bachao Beti Padhao, every eligible beneficiary in Punjab has been provided the intended subsidy/transfers.","The road is reported incomplete or damaged in many stretches, leaving several habitations with only seasonal access. Toilets are unusable due to lack of water connections or broken pits.",unfulfilled
56,MGNREGA,"All rural households in rural block, Madhya Pradesh are reported to have received clean cooking fuel connections under MGNREGA.",Local NGOs report that large numbers of eligible farmers in Madhya Pradesh have not received the promised transfers or faced delays in payments. Road construction stalled due to contractor disputes and monsoon damage.,unfulfilled
57,Poshan Abhiyaan,The health initiative Poshan Abhiyaan has set up the required number of primary health centres in Assam and increased service coverage.,Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Beneficiary interviews corroborated receipt of benefits and regular services.,fulfilled
58,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"Under Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana), every eligible beneficiary in West Bengal has been provided the intended subsidy/transfers.","Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Electric meters installed but supply often limited to a few hours.",unfulfilled
59,Smart Cities Mission,Smart Cities Mission has successfully provided households in municipality of Assam with electricity connections and 24x7 supply.,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Local administrators confirmed household-level connections during surprise checks.,fulfilled
60,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),The government has ensured that all households in rural block of Maharashtra have access to piped water connections under Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana).,On-ground reporting shows that electricity is available but often limited to a few hours a day; connection figures appear inflated. Electric meters installed but supply often limited to a few hours.,unfulfilled
61,National Health Mission,National Health Mission claims that farmer beneficiaries in Bihar have received timely financial assistance under the scheme.,Survey data is inconclusive; official dashboards show coverage but independent sample surveys indicate uneven implementation across the district.,uncertain
62,Pradhan Mantri Gram Sadak Yojana,Pradhan Mantri Gram Sadak Yojana claims that farmer beneficiaries in Tamil Nadu have received timely financial assistance under the scheme.,Local NGOs report that large numbers of eligible farmers in Tamil Nadu have not received the promised transfers or faced delays in payments. Many households reported receiving taps but no running water.,unfulfilled
63,Digital India,Digital India claims that farmer beneficiaries in Kerala have received timely financial assistance under the scheme.,Local NGOs report that large numbers of eligible farmers in Kerala have not received the promised transfers or faced delays in payments. Electric meters installed but supply often limited to a few hours.,unfulfilled
64,Jal Jeevan Mission,Jal Jeevan Mission has successfully provided households in district of West Bengal with electricity connections and 24x7 supply.,Local NGOs report that large numbers of eligible farmers in West Bengal have not received the promised transfers or faced delays in payments. Road construction stalled due to contractor disputes and monsoon damage.,unfulfilled
65,MGNREGA,The health initiative MGNREGA has set up the required number of primary health centres in West Bengal and increased service coverage.,Official numbers and local reports diverge; further verification on selected samples is required to confirm the extent of coverage.,uncertain
66,Atmanirbhar Bharat,"Under Atmanirbhar Bharat, every eligible beneficiary in West Bengal has been provided the intended subsidy/transfers.",On-ground reporting shows that electricity is available but often limited to a few hours a day; connection figures appear inflated. Toilets are unusable due to lack of water connections or broken pits.,unfulfilled
67,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"All rural households in cluster of habitations, Madhya Pradesh are reported to have received clean cooking fuel connections under Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana).",Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Third-party monitors reported improved service indicators this year.,fulfilled
68,Ujjwala Yojana,"All rural households in rural block, Odisha are reported to have received clean cooking fuel connections under Ujjwala Yojana.",On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Beneficiary interviews corroborated receipt of benefits and regular services.,fulfilled
69,Atmanirbhar Bharat,"Under Atmanirbhar Bharat, every eligible beneficiary in West Bengal has been provided the intended subsidy/transfers.",Local surveys confirm that a large majority of eligible families in West Bengal received the promised benefits and subsidies under Atmanirbhar Bharat. Beneficiary interviews corroborated receipt of benefits and regular services.,fulfilled
70,PM Awas Yojana,PM Awas Yojana has successfully provided households in district of Haryana with electricity connections and 24x7 supply.,Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Beneficiary interviews corroborated receipt of benefits and regular services.,fulfilled
71,PM-KISAN,PM-KISAN has eliminated open defecation in most areas of Tamil Nadu and constructed toilets in all target households.,Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Third-party monitors reported improved service indicators this year.,fulfilled
72,Jal Jeevan Mission,Jal Jeevan Mission has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Madhya Pradesh.,Official numbers and local reports diverge; further verification on selected samples is required to confirm the extent of coverage.,uncertain
73,Ayushman Bharat,Ayushman Bharat claims that farmer beneficiaries in Karnataka have received timely financial assistance under the scheme.,Survey data is inconclusive; official dashboards show coverage but independent sample surveys indicate uneven implementation across the district.,uncertain
74,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana) reports that roads connecting habitations in urban slum, Karnataka are complete and motorable throughout the year.",Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Beneficiary interviews corroborated receipt of benefits and regular services.,fulfilled
75,Smart Cities Mission,"Under Smart Cities Mission, every eligible beneficiary in Kerala has been provided the intended subsidy/transfers.",Local NGOs report that large numbers of eligible farmers in Kerala have not received the promised transfers or faced delays in payments. Electric meters installed but supply often limited to a few hours.,unfulfilled
76,Jal Jeevan Mission,Jal Jeevan Mission has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Chhattisgarh.,"A field investigation in urban slum, Chhattisgarh found many households still without functioning piped water connections; supply remains intermittent. Many households reported receiving taps but no running water.",unfulfilled
77,Beti Bachao Beti Padhao,"Beti Bachao Beti Padhao reports that roads connecting habitations in taluka, Maharashtra are complete and motorable throughout the year.","Reports provide mixed findings: while some pockets in taluka, Maharashtra have benefited, other areas still face shortfalls and inconsistent delivery.",uncertain
78,Beti Bachao Beti Padhao,"Beti Bachao Beti Padhao reports that roads connecting habitations in district, Gujarat are complete and motorable throughout the year.","Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Road construction stalled due to contractor disputes and monsoon damage.",unfulfilled
79,National Health Mission,"All rural households in urban slum, Madhya Pradesh are reported to have received clean cooking fuel connections under National Health Mission.",Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Local administrators confirmed household-level connections during surprise checks.,fulfilled
80,MGNREGA,MGNREGA has eliminated open defecation in most areas of Uttar Pradesh and constructed toilets in all target households.,"Field verification in municipality, Uttar Pradesh indicates that most households do have piped water and receive regular supply, corroborating the official claim. Local administrators confirmed household-level connections during surprise checks.",fulfilled
81,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana) has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Madhya Pradesh.,Local NGOs report that large numbers of eligible farmers in Madhya Pradesh have not received the promised transfers or faced delays in payments. Payments were delayed by months according to farmer groups.,unfulfilled
82,Smart Cities Mission,Smart Cities Mission has eliminated open defecation in most areas of Bihar and constructed toilets in all target households.,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Beneficiary interviews corroborated receipt of benefits and regular services.,fulfilled
83,Poshan Abhiyaan,Poshan Abhiyaan has successfully provided households in cluster of habitations of Assam with electricity connections and 24x7 supply.,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Many households reported receiving taps but no running water.",unfulfilled
84,Jal Jeevan Mission,Jal Jeevan Mission has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Chhattisgarh.,Official numbers and local reports diverge; further verification on selected samples is required to confirm the extent of coverage.,uncertain
85,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana) has eliminated open defecation in most areas of Bihar and constructed toilets in all target households.,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Electric meters installed but supply often limited to a few hours.",unfulfilled
86,Swachh Bharat Mission,The government has ensured that all households in village panchayat of Kerala have access to piped water connections under Swachh Bharat Mission.,Health facility mapping found that new primary health centres are functional and several programs are reaching intended beneficiaries. Beneficiary interviews corroborated receipt of benefits and regular services.,fulfilled
87,Ayushman Bharat,The health initiative Ayushman Bharat has set up the required number of primary health centres in Bihar and increased service coverage.,Official numbers and local reports diverge; further verification on selected samples is required to confirm the extent of coverage.,uncertain
88,PM-KISAN,The health initiative PM-KISAN has set up the required number of primary health centres in Bihar and increased service coverage.,Local NGOs report that large numbers of eligible farmers in Bihar have not received the promised transfers or faced delays in payments. Road construction stalled due to contractor disputes and monsoon damage.,unfulfilled
89,Pradhan Mantri Gram Sadak Yojana,"All rural households in cluster of habitations, West Bengal are reported to have received clean cooking fuel connections under Pradhan Mantri Gram Sadak Yojana.",Health facility mapping found that new primary health centres are functional and several programs are reaching intended beneficiaries. Beneficiary interviews corroborated receipt of benefits and regular services.,fulfilled
90,Beti Bachao Beti Padhao,Beti Bachao Beti Padhao has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Madhya Pradesh.,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Local administrators confirmed household-level connections during surprise checks.,fulfilled
91,Atmanirbhar Bharat,"Atmanirbhar Bharat reports that roads connecting habitations in municipality, Bihar are complete and motorable throughout the year.",Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Third-party monitors reported improved service indicators this year.,fulfilled
92,Smart Cities Mission,The government has ensured that all households in municipality of Tamil Nadu have access to piped water connections under Smart Cities Mission.,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Payments were delayed by months according to farmer groups.",unfulfilled
93,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"All rural households in taluka, Gujarat are reported to have received clean cooking fuel connections under Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana).","Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Electric meters installed but supply often limited to a few hours.",unfulfilled
94,Atmanirbhar Bharat,The government has ensured that all households in village panchayat of Karnataka have access to piped water connections under Atmanirbhar Bharat.,Local NGOs report that large numbers of eligible farmers in Karnataka have not received the promised transfers or faced delays in payments. Many households reported receiving taps but no running water.,unfulfilled
95,Pradhan Mantri Gram Sadak Yojana,Smart city projects under Pradhan Mantri Gram Sadak Yojana have made the municipal services fully digital and integrated in Tamil Nadu.,Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Third-party monitors reported improved service indicators this year.,fulfilled
96,PM-KISAN,The government has ensured that all households in taluka of Odisha have access to piped water connections under PM-KISAN.,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Payments were delayed by months according to farmer groups.",unfulfilled
97,Pradhan Mantri Gram Sadak Yojana,Pradhan Mantri Gram Sadak Yojana has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Rajasthan.,Official numbers and local reports diverge; further verification on selected samples is required to confirm the extent of coverage.,uncertain
98,MGNREGA,Smart city projects under MGNREGA have made the municipal services fully digital and integrated in Gujarat.,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Road construction stalled due to contractor disputes and monsoon damage.",unfulfilled
99,Ujjwala Yojana,Ujjwala Yojana has successfully provided households in district of Karnataka with electricity connections and 24x7 supply.,"The claim is partially supported by some administrative records, but local interviews and sample checks show variations that raise uncertainty.",uncertain
100,Pradhan Mantri Gram Sadak Yojana,"Under Pradhan Mantri Gram Sadak Yojana, every eligible beneficiary in West Bengal has been provided the intended subsidy/transfers.",Survey data is inconclusive; official dashboards show coverage but independent sample surveys indicate uneven implementation across the district.,uncertain
