id,scheme_name,report_text,report_source
43,PM Awas Yojana,"Field verification in taluka, Kerala indicates that most households do have piped water and receive regular supply, corroborating the official claim. Local administrators confirmed household-level connections during surprise checks.",Media fact-check (Kerala field note)
44,Atmanirbhar Bharat,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Local administrators confirmed household-level connections during surprise checks.,Field visit report (Gujarat field note)
45,Pradhan Mantri Gram Sadak Yojana,Local surveys confirm that a large majority of eligible families in Bihar received the promised benefits and subsidies under Pradhan Mantri Gram Sadak Yojana. Local administrators confirmed household-level connections during surprise checks.,Field visit report (Bihar field note)
46,Atmanirbhar Bharat,Local surveys confirm that a large majority of eligible families in Odisha received the promised benefits and subsidies under Atmanirbhar Bharat. Local administrators confirmed household-level connections during surprise checks.,Media fact-check (Odisha field note)
47,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Beneficiary interviews corroborated receipt of benefits and regular services.,Media fact-check (Tamil Nadu field note)
48,MGNREGA,"Field verification in cluster of habitations, Tamil Nadu indicates that most households do have piped water and receive regular supply, corroborating the official claim. Local administrators confirmed household-level connections during surprise checks.",The Wire investigation (Tamil Nadu field note)
49,PM Awas Yojana,"The road is reported incomplete or damaged in many stretches, leaving several habitations with only seasonal access. Road construction stalled due to contractor disputes and monsoon damage.",The Wire investigation (Assam field note)
50,Pradhan Mantri Gram Sadak Yojana,"The road is reported incomplete or damaged in many stretches, leaving several habitations with only seasonal access. Many households reported receiving taps but no running water.",Local NGO report (Kerala field note)
51,Atmanirbhar Bharat,On-ground reporting shows that electricity is available but often limited to a few hours a day; connection figures appear inflated. Many households reported receiving taps but no running water.,Independent survey (2024) (Assam field note)
52,Atmanirbhar Bharat,Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Local administrators confirmed household-level connections during surprise checks.,Media fact-check (Kerala field note)
53,Atmanirbhar Bharat,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Third-party monitors reported improved service indicators this year.,The Wire investigation (Gujarat field note)
54,Smart Cities Mission,Survey data is inconclusive; official dashboards show coverage but independent sample surveys indicate uneven implementation across the district.,IndiaSpend analysis (Tamil Nadu field note)
55,Beti Bachao Beti Padhao,"The road is reported incomplete or damaged in many stretches, leaving several habitations with only seasonal access. Toilets are unusable due to lack of water connections or broken pits.",Local NGO report (Punjab field note)
56,MGNREGA,Local NGOs report that large numbers of eligible farmers in Madhya Pradesh have not received the promised transfers or faced delays in payments. Road construction stalled due to contractor disputes and monsoon damage.,Field visit report (Madhya Pradesh field note)
57,Poshan Abhiyaan,Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Beneficiary interviews corroborated receipt of benefits and regular services.,Media fact-check (Assam field note)
58,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Electric meters installed but supply often limited to a few hours.",Media fact-check (West Bengal field note)
59,Smart Cities Mission,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Local administrators confirmed household-level connections during surprise checks.,Field visit report (Assam field note)
60,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),On-ground reporting shows that electricity is available but often limited to a few hours a day; connection figures appear inflated. Electric meters installed but supply often limited to a few hours.,Field visit report (Maharashtra field note)
61,National Health Mission,Survey data is inconclusive; official dashboards show coverage but independent sample surveys indicate uneven implementation across the district.,Media fact-check (Bihar field note)
62,Pradhan Mantri Gram Sadak Yojana,Local NGOs report that large numbers of eligible farmers in Tamil Nadu have not received the promised transfers or faced delays in payments. Many households reported receiving taps but no running water.,Field visit report (Tamil Nadu field note)
63,Digital India,Local NGOs report that large numbers of eligible farmers in Kerala have not received the promised transfers or faced delays in payments. Electric meters installed but supply often limited to a few hours.,Local NGO report (Kerala field note)
64,Jal Jeevan Mission,Local NGOs report that large numbers of eligible farmers in West Bengal have not received the promised transfers or faced delays in payments. Road construction stalled due to contractor disputes and monsoon damage.,Media fact-check (West Bengal field note)
65,MGNREGA,Official numbers and local reports diverge; further verification on selected samples is required to confirm the extent of coverage.,Field visit report (West Bengal field note)
66,Atmanirbhar Bharat,On-ground reporting shows that electricity is available but often limited to a few hours a day; connection figures appear inflated. Toilets are unusable due to lack of water connections or broken pits.,Field visit report (West Bengal field note)
67,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Third-party monitors reported improved service indicators this year.,IndiaSpend analysis (Madhya Pradesh field note)
68,Ujjwala Yojana,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Beneficiary interviews corroborated receipt of benefits and regular services.,The Wire investigation (Odisha field note)
69,Atmanirbhar Bharat,Local surveys confirm that a large majority of eligible families in West Bengal received the promised benefits and subsidies under Atmanirbhar Bharat. Beneficiary interviews corroborated receipt of benefits and regular services.,Media fact-check (West Bengal field note)
70,PM Awas Yojana,Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Beneficiary interviews corroborated receipt of benefits and regular services.,Independent survey (2024) (Haryana field note)
71,PM-KISAN,Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Third-party monitors reported improved service indicators this year.,Media fact-check (Tamil Nadu field note)
72,Jal Jeevan Mission,Official numbers and local reports diverge; further verification on selected samples is required to confirm the extent of coverage.,NDTV report (Madhya Pradesh field note)
73,Ayushman Bharat,Survey data is inconclusive; official dashboards show coverage but independent sample surveys indicate uneven implementation across the district.,Local NGO report (Karnataka field note)
74,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Beneficiary interviews corroborated receipt of benefits and regular services.,Media fact-check (Karnataka field note)
75,Smart Cities Mission,Local NGOs report that large numbers of eligible farmers in Kerala have not received the promised transfers or faced delays in payments. Electric meters installed but supply often limited to a few hours.,Independent survey (2024) (Kerala field note)
76,Jal Jeevan Mission,"A field investigation in urban slum, Chhattisgarh found many households still without functioning piped water connections; supply remains intermittent. Many households reported receiving taps but no running water.",Media fact-check (Chhattisgarh field note)
77,Beti Bachao Beti Padhao,"Reports provide mixed findings: while some pockets in taluka, Maharashtra have benefited, other areas still face shortfalls and inconsistent delivery.",The Wire investigation (Maharashtra field note)
78,Beti Bachao Beti Padhao,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Road construction stalled due to contractor disputes and monsoon damage.",The Wire investigation (Gujarat field note)
79,National Health Mission,Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Local administrators confirmed household-level connections during surprise checks.,Media fact-check (Madhya Pradesh field note)
80,MGNREGA,"Field verification in municipality, Uttar Pradesh indicates that most households do have piped water and receive regular supply, corroborating the official claim. Local administrators confirmed household-level connections during surprise checks.",IndiaSpend analysis (Uttar Pradesh field note)
81,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),Local NGOs report that large numbers of eligible farmers in Madhya Pradesh have not received the promised transfers or faced delays in payments. Payments were delayed by months according to farmer groups.,Local NGO report (Madhya Pradesh field note)
82,Smart Cities Mission,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Beneficiary interviews corroborated receipt of benefits and regular services.,IndiaSpend analysis (Bihar field note)
83,Poshan Abhiyaan,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Many households reported receiving taps but no running water.",Independent survey (2024) (Assam field note)
84,Jal Jeevan Mission,Official numbers and local reports diverge; further verification on selected samples is required to confirm the extent of coverage.,Media fact-check (Chhattisgarh field note)
85,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Electric meters installed but supply often limited to a few hours.",Field visit report (Bihar field note)
86,Swachh Bharat Mission,Health facility mapping found that new primary health centres are functional and several programs are reaching intended beneficiaries. Beneficiary interviews corroborated receipt of benefits and regular services.,Media fact-check (Kerala field note)
87,Ayushman Bharat,Official numbers and local reports diverge; further verification on selected samples is required to confirm the extent of coverage.,Field visit report (Bihar field note)
88,PM-KISAN,Local NGOs report that large numbers of eligible farmers in Bihar have not received the promised transfers or faced delays in payments. Road construction stalled due to contractor disputes and monsoon damage.,IndiaSpend analysis (Bihar field note)
89,Pradhan Mantri Gram Sadak Yojana,Health facility mapping found that new primary health centres are functional and several programs are reaching intended beneficiaries. Beneficiary interviews corroborated receipt of benefits and regular services.,Local NGO report (West Bengal field note)
90,Beti Bachao Beti Padhao,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Local administrators confirmed household-level connections during surprise checks.,Field visit report (Madhya Pradesh field note)
91,Atmanirbhar Bharat,Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Third-party monitors reported improved service indicators this year.,Independent survey (2024) (Bihar field note)
92,Smart Cities Mission,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Payments were delayed by months according to farmer groups.",Local NGO report (Tamil Nadu field note)
93,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Electric meters installed but supply often limited to a few hours.",Media fact-check (Gujarat field note)
94,Atmanirbhar Bharat,Local NGOs report that large numbers of eligible farmers in Karnataka have not received the promised transfers or faced delays in payments. Many households reported receiving taps but no running water.,IndiaSpend analysis (Karnataka field note)
95,Pradhan Mantri Gram Sadak Yojana,Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Third-party monitors reported improved service indicators this year.,Media fact-check (Tamil Nadu field note)
96,PM-KISAN,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Payments were delayed by months according to farmer groups.",Local NGO report (Odisha field note)
97,Pradhan Mantri Gram Sadak Yojana,Official numbers and local reports diverge; further verification on selected samples is required to confirm the extent of coverage.,Independent survey (2024) (Rajasthan field note)
98,MGNREGA,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Road construction stalled due to contractor disputes and monsoon damage.",The Wire investigation (Gujarat field note)
99,Ujjwala Yojana,"The claim is partially supported by some administrative records, but local interviews and sample checks show variations that raise uncertainty.",NDTV report (Karnataka field note)
100,Pradhan Mantri Gram Sadak Yojana,Survey data is inconclusive; official dashboards show coverage but independent sample surveys indicate uneven implementation across the district.,Media fact-check (West Bengal field note)
